成品代號,成品名稱
926AU002B,(半)DR.Q台酒蒟蒻果醋晶凍-水蜜桃19g/小包
926AU005A,(半)DR.Q雙味蒟蒻(大陸Costco版)-葡萄19g/小包
926AU009D,(半)DR.Q雙味蒟蒻(大陸Costco版)-荔枝19g/小包
926AU030A,(半)DR.Q零卡荔枝蒟蒻19g/小包
926AU030B,(半)DR.Q零卡芭樂蒟蒻19g/小包
926AU031A,(半)Dr.Q零卡蒟蒻-百香果19g/小包
926AU031C,(半)Dr.Q零卡蒟蒻-檸檬愛玉19g/小包
926AU034A,(半)Dr.Q零卡草莓蒟蒻19g/小包
926AU034B,(半)Dr.Q零卡白桃蒟蒻19g/小包
926AW003,(半)DR.Q水蜜桃蒟蒻(簡體版)19g/小包
926AW006,(半)DR.Q水蜜桃蒟蒻19g/小包(174mm)
926AX001,(半)DR.Q百香果蒟蒻(簡體版)19g/小包
926AX002,(半)DR.Q百香果蒟蒻19g/小包
926AX002A,(半)DR.Q百香果蒟蒻19g/小包(174mm)
926AY001,(半)DR.Q葡萄蒟蒻19g/小包
926AY001A,(半)DR.Q葡萄蒟蒻19g/小包(174mm)
926AY003,(半)DR.Q葡萄蒟蒻(大陸簡體版)19g/小包
926AY011,(半)DR.Q白葡萄蒟蒻19g/小包
926AY015,(半)HelloKitty葡萄蒟蒻19g/小包(174mm)
926AY018,(半)DR.Q果汁果凍-葡萄(韓文)60g/小包
926AY019,(半)DR.Q葡萄蒟蒻(哆啦A夢版)19g/小包
926BQ002,(半)DR.Q蘋果蒟蒻19g/小包
926BV001,(半)DR.Q蜂蜜梅子蒟蒻19g/小包
926BX001,(半)DR.Q哈密瓜蒟蒻19g/小包
921AR001,(半)中文蒟蒻椰果荔枝27g
921AR003,(半)英文果凍椰果荔枝27g
921AR009,(半)英文果凍椰果荔枝(碎椰肉)27g
921AR014,(半)Meadows迷你果凍-荔枝27g
921AR015,(半)(綠山)果凍椰果-荔枝(碎椰肉)
921AT003,(半)高纖蒟蒻椰果芒果27g
921AT005,(半)英文果凍椰果芒果27g
921AT009,(半)英文果凍椰果芒果(碎椰肉)27g
921AT021,(半)Meadows迷你果凍-芒果27g
921AT022,(半)高纖果凍(無蒟蒻版)-芒果27g
921AY002,(半)高纖小椰果葡萄27g
921AY005,(半)(台酒)寒天果醋晶凍-葡萄27g
921AY016,(半)高纖果凍(無蒟蒻版)-葡萄27g
921BK001,(半)(台酒)寒天果醋晶凍-金桔檸檬27g
921BV001,(半)(台酒)寒天果醋晶凍-梅子27g
921CD005,(半)雞蛋布丁(大陸簡體3歲杯膜)27g
921CE002,(半)高纖小椰果白桃27g
921CE006,(半)高纖果凍(無蒟蒻版)-白桃27g
923AA001,(半)(華元)如果蒟蒻椰果果凍-草莓35g
923AR003,(半)(華元)如果蒟蒻椰果果凍-荔枝35g
923AY001,(半)(華元)如果蒟蒻椰果果凍-葡萄35g
923AZ001,(半)(華元)如果蒟蒻椰果果凍-鳳梨35g
923BJ001,(半)(華元)如果蒟蒻椰果果凍-青蘋果35g
916AR001,(半)珍珠吉果荔枝
916AT001,(半)珍珠吉果芒果
921AU001,(半)蒟蒻椰果-中文綜合27g
921AU003,(半)中文純果凍綜合27g
921AU004,(半)英文果凍椰果綜合27g
921AU017,(半)果凍椰果綜合(碎椰肉)27g
921AU026,(半)哆啦A夢果味果凍-綜合27g
921AU034,(半)蒟蒻椰果綜合(大陸簡體杯膜)27g
921AU036,(半)(綠山)果凍椰果-綜合(碎椰肉)
921AU037,(半)零卡果凍-綜合(芒果葡萄荔枝白葡萄4口味)27g
914AU002,(半)NC小優酪綜合35g
914AU006,(半)中文小優酪綜合(蜜柑草莓藍莓芒果)35g
914AU015,(半)優酪果園-綜合(大陸簡體3歲)35g
914AU016,(半)TRIKO小熊優酪果園-綜合(3歲杯膜)35g(蜜柑草莓藍莓芒果)
914AU017,(半)小熊維尼優酪果園-綜合35g(蜜柑草莓藍莓芒果)
914AU018,(半)HelloKitty優酪綜合35g(蜜柑草莓藍莓芒果)
923AU003,(半)(華元)如果蒟蒻椰果果凍-綜合35g
916AU001,"(半)中文珍珠吉果綜合 (蕉,芒,草,葡)"
916AU012,(半)NC纖維椰果凍-綜合(無添加蒟蒻粉)
901AU057,(半)TKM HelloKitty果汁果凍-綜合16g(葡萄芒果白桃；投入400kg/桶)
901AU058,(半)TKM哆啦A夢果汁果凍-綜合16g(葡萄芒果白桃)
901AU059,(半)TKM HelloKitty果汁果凍-綜合16g(葡萄芒果白桃；投入500kg/桶)
901AU060,(半)TKM史努比果汁果凍-綜合16g(葡萄芒果白桃；投入500kg/桶)
901AU061,(半)TKM史努比果汁果凍-綜合16g(葡萄芒果白桃；投入400kg/桶)
901AU062,(半)TKM哆啦A夢果汁果凍-綜合16g(葡萄芒果白桃；投入400kg/桶)
114AU012,優酪果園-綜合 1085g X 6桶入
114AU030,優酪果園-綜合330g(33gX10杯)X10包
121AR009,V蒟蒻椰果-荔枝420gX10包
121AR015,蒟蒻椰果-荔枝1000gX10包
121AU015,V蒟蒻椰果-中文綜合420gX10包
121AU033A,V純果凍-綜合500gX10包
121AU040,蒟蒻椰果-綜合1000gX10包
121AU042A,零卡果凍-綜合(2023年版)720gX10包
121AU045,哆啦A夢果味果凍-綜合420gX10包
121AU047,哆啦A夢果味果凍-綜合1000gX6包
121AU052,V純果凍-綜合250gX10包
121AY010,(盛香珍版)纖維果凍-葡萄原汁720gX10包
414AU001,優酪果園-綜合 6kg (35g/杯)
421AR001,V蒟蒻椰果-荔枝 6kg/箱(十斤裝)
421AU001,V蒟蒻椰果-中文綜合 6kg/箱(十斤裝)
421AU002,V純果凍-綜合 6kg/箱(十斤裝)
421AU004A,零卡果凍-綜合6kg/箱(十斤裝;芒果葡萄荔枝白葡萄)
421AU009,純果凍-綜合2.5kg/箱
721AR004,(外)Fun Club果凍椰果-荔枝 280g X 30包入
721AR005,(外)Fun Club果凍椰果-荔枝 1320g X 6桶入
